Date,Store ID,Store Location,Product ID,Product Name,Product Category,Unit Price,Unit Cost,Quantity Sold,Gross Sales,Total Cost,Profit Amount,Invoice Count
2025-01-01,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,52,2600,1820,780,46
2025-01-01,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,104,12480,9360,3120,46
2025-01-01,ST01,MG Road,P03,Milk 1L,Dairy,40,28,99,3960,2772,1188,46
2025-01-01,ST01,MG Road,P04,Curd 500g,Dairy,35,24,69,2415,1656,759,46
2025-01-01,ST01,MG Road,P05,Cola 1L,Beverages,30,20,80,2400,1600,800,46
2025-01-01,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,84,5040,3528,1512,46
2025-01-01,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,40,1000,600,400,46
2025-01-01,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,34,4760,3400,1360,46
2025-01-01,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,89,7120,4895,2225,46
2025-01-01,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,36,3420,2520,900,46
2025-01-01,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,108,5400,3780,1620,63
2025-01-01,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,103,12360,9270,3090,63
2025-01-01,ST02,Howrah,P03,Milk 1L,Dairy,40,28,69,2760,1932,828,63
2025-01-01,ST02,Howrah,P04,Curd 500g,Dairy,35,24,116,4060,2784,1276,63
2025-01-01,ST02,Howrah,P05,Cola 1L,Beverages,30,20,138,4140,2760,1380,63
2025-01-01,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,105,6300,4410,1890,63
2025-01-01,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,94,2350,1410,940,63
2025-01-01,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,64,8960,6400,2560,63
2025-01-01,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,55,4400,3025,1375,63
2025-01-01,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,68,6460,4760,1700,63
2025-01-02,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,62,3100,2170,930,56
2025-01-02,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,112,13440,10080,3360,56
2025-01-02,ST01,MG Road,P03,Milk 1L,Dairy,40,28,70,2800,1960,840,56
2025-01-02,ST01,MG Road,P04,Curd 500g,Dairy,35,24,83,2905,1992,913,56
2025-01-02,ST01,MG Road,P05,Cola 1L,Beverages,30,20,62,1860,1240,620,56
2025-01-02,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,77,4620,3234,1386,56
2025-01-02,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,58,1450,870,580,56
2025-01-02,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,55,7700,5500,2200,56
2025-01-02,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,49,3920,2695,1225,56
2025-01-02,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,84,7980,5880,2100,56
2025-01-02,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,58,2900,2030,870,45
2025-01-02,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,75,9000,6750,2250,45
2025-01-02,ST02,Howrah,P03,Milk 1L,Dairy,40,28,53,2120,1484,636,45
2025-01-02,ST02,Howrah,P04,Curd 500g,Dairy,35,24,65,2275,1560,715,45
2025-01-02,ST02,Howrah,P05,Cola 1L,Beverages,30,20,54,1620,1080,540,45
2025-01-02,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,106,6360,4452,1908,45
