Date,Store_ID,Store_Location,Product_ID,Product_Name,Product_Category,Unit_Price,Unit_Cost,Quantity_Sold,Gross_Sales,Total_Cost,Profit_Amount,Invoice_Count,Discount_%,Festival_Flag,Promotion_Flag,Payment_Mode,Outstanding_Amount,Return_Quantity,Stock_Level,Profit_Margin_%,Business_Type,Sales_Growth_%
2023-01-01,S001,Chennai,P001,Product_1,FMCG,1160,749.2,11,12760,8241.2,4518.799999999999,10,0,0,0,UPI,5334,2,508,35.41,Retail,6.94
2023-01-01,S001,Chennai,P002,Product_2,Electronics,430,260.21,5,2150,1301.05,848.95,6,15,0,0,Card,5311,3,326,39.49,Retail,11.65
2023-01-01,S001,Chennai,P003,Product_3,Clothing,759,571.46,45,34155,25715.7,8439.3,11,0,0,0,UPI,7849,3,749,24.71,Distributor,0.82
2023-01-01,S001,Chennai,P004,Product_4,Supermarket,489,304.48,52,25428,15832.960000000001,9595.039999999999,9,15,0,0,UPI,3556,2,696,37.73,Retail,5.28
2023-01-01,S001,Chennai,P005,Product_5,FMCG,1597,1337.04,17,27149,22729.68,4419.32,10,5,0,0,Cash,7041,3,141,16.28,Distributor,2.71
2023-01-01,S002,Bangalore,P001,Product_1,FMCG,1778,1337.94,11,19558,14717.34,4840.66,1,10,0,0,Net Banking,1585,3,51,24.75,Wholesale,-1.53
2023-01-01,S002,Bangalore,P002,Product_2,Electronics,1429,1060.21,31,44299,32866.51,11432.489999999998,12,10,0,0,Card,4297,5,319,25.81,Distributor,11.85
2023-01-01,S002,Bangalore,P003,Product_3,Clothing,1115,760.02,17,18955,12920.34,6034.66,14,10,0,0,Net Banking,7892,4,387,31.84,Distributor,5.42
2023-01-01,S002,Bangalore,P004,Product_4,Supermarket,1376,1027.44,27,37152,27740.88,9411.119999999999,13,15,0,0,Cash,5276,4,114,25.33,Retail,7.14
2023-01-01,S002,Bangalore,P005,Product_5,FMCG,1667,1164.77,11,18337,12812.47,5524.530000000001,3,15,0,0,Cash,391,2,468,30.13,Retail,-4.72
2023-01-01,S003,Hyderabad,P001,Product_1,FMCG,678,419.35,40,27120,16774.0,10346.0,7,5,0,0,Cash,5959,3,82,38.15,Distributor,-2.68
2023-01-01,S003,Hyderabad,P002,Product_2,Electronics,2051,1572.05,45,92295,70742.25,21552.75,3,15,0,0,Cash,7906,4,511,23.35,Distributor,0.49
2023-01-01,S003,Hyderabad,P003,Product_3,Clothing,1328,983.14,17,22576,16713.38,5862.619999999999,10,10,0,0,Card,7035,4,740,25.97,Distributor,-4.19
2023-01-01,S003,Hyderabad,P004,Product_4,Supermarket,1163,882.84,53,61639,46790.520000000004,14848.479999999996,14,0,0,0,Cash,7574,4,704,24.09,Distributor,5.17
